Question Number,Question,Concepts
1,"Consider the following statements: Statement-I: If the United States of America (USA) were to default on its debt, holders of US Treasury Bonds will not be able to exercise their claims to receive payment. Statement-II: The USA Government debt is not backed by any hard assets, but only by the faith of the Government. Which one of the following is correct in respect of the above statements?",trade & global economics
2,"Consider the following statements: Statement-I: Syndicated lending spreads the risk of borrower default across multiple lenders. Statement-II: The syndicated loan can be a fixed amount/lump sum of funds, but cannot be a credit line. Which one of the following is correct in respect of the above statements?",banking & financial regulation
3,Consider the following statements in respect of the digital rupee: 1. It is a sovereign currency issued by the Reserve Bank of India (RBI) in alignment with its monetary policy. 2. It appears as a liability on the RBI’s balance sheet. 3. It is insured against inflation by its very design. 4. It is freely convertible against commercial bank money and cash. Which of the statements given above are correct?,monetary policy & central banking; digital currency
4,"With reference to the Digital India Land Records Modernisation Programme, consider the following statements: 1. To implement the scheme, the Central Government provides 100% funding. 2. Under the Scheme, Cadastral Maps are digitised. 3. An initiative has been undertaken to transliterate the Records of Rights from local language to any of the languages recognized by the Constitution of India. Which of the statements given above are correct?",indian economy & policy
5,"Consider the following statements: 1. In India, Non-Banking Financial Companies can access the Liquidity Adjustment Facility window of the Reserve Bank of India. 2. In India, Foreign Institutional Investors can hold the Government Securities (G-Secs). 3. In India, Stock Exchanges can offer Separate trading platforms for debts. Which of the statements given above is/are correct?",monetary policy & central banking; banking & financial regulation; capital markets & instruments
6,"In India, which of the following can trade in Corporate Bonds and Government Securities? 1. Insurance Companies 2. Pension Funds 3. Retail Investors Select the correct answer using the code given below:",banking & financial regulation; capital markets & instruments
7,Consider the following: 1. Exchange-Traded Funds (ETF) 2. Motor vehicles 3. Currency swap Which of the above is/are considered financial instruments?,capital markets & instruments; trade & global economics
8,"With reference to the sectors of the Indian economy, consider the following pairs: 1. Storage of agricultural produce - Secondary 2. Dairy farm - Primary 3. Mineral exploration - Tertiary 4. Weaving cloth - Secondary How many of the pairs given above are correctly matched?",indian economy & policy
9,"With reference to physical capital in Indian economy, consider the following pairs: 1. Farmer’s plough - Working capital 2. Computer - Fixed capital 3. Yarn used by the weaver - Fixed capital 4. Petrol - Working capital. How many of the above pairs are correctly matched?",indian economy & policy
10,"With reference to the rule/rules imposed by the Reserve Bank of India while treating foreign banks, consider the following statements: 1. There is no minimum capital requirement for wholly owned banking subsidiaries in India. 2. For wholly owned banking subsidiaries in India, at least 50% of the board members should be Indian nationals. Which of the statements given above is/are correct?",banking & financial regulation
11,"With reference to Corporate Social Responsibility (CSR) rules in India, consider the following statements: 1. CSR rules specify that expenditures that benefit the company directly or its employees will not be considered as CSR activities. 2. CSR rules do not specify minimum spending on CSR activities. Which of the statements given above is/are correct?",banking & financial regulation
12,"With reference to the Indian economy, “Collateral Borrowing and Lending Obligations” are the instruments of:",capital markets & instruments
13,"Consider the following statements: Statement-I: Interest income from the deposits in Infrastructure Investment Trusts (InvITs) distributed to their investors is exempted from tax, but the dividend is taxable. Statement-II: InvITs are recognized as borrowers under the ‘Securitization and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002”. Which one of the following is correct in respect of the above statements?",capital markets & instruments
14,"Consider the following statements: Statement-I: In the post-pandemic recent past, many Central Banks worldwide had carried out interest rate hikes. Statement-II: Central Banks generally assume that they have the ability to counteract the rising consumer prices via monetary policy means. Which one of the following is correct in respect of the above statements?",monetary policy & central banking; digital currency
15,Which one of the following activities of the Reserve Bank of India is considered to be part of ‘sterilization’?,monetary policy & central banking
16,Consider the following markets: 1. Government Bond Market 2. Call Money Market 3. Treasury Bill Market 4. Stock Market How many of the above are included in capital markets?,monetary policy & central banking; capital markets & instruments
17,Which one of the following best describes the concept of ‘Small Farmer Large Field’?,agricultural marketing and prices
18,Consider the following statements: 1. The Government of India provides Minimum Support Price for niger (Guizotia abyssinica) seeds. 2. Niger is cultivated as a Kharif crop. 3. Some tribal people in India use niger seed oil for cooking. How many of the above statements are correct?,indian economy & policy
19,Consider the investments in the following assets: 1. Brand recognition 2. Inventory 3. Intellectual property 4. Mailing list of clients How many of the above are considered intangible investments?,trade & global economics
20,Consider the following statements: Statement-I: India accounts for 3.2% of global export of goods. Statement-II: Many local companies and some foreign companies operating in India have taken advantage of India’s ‘Production-linked Incentive’ scheme. Which one of the following is correct in respect of the above statements?,trade & global economics
21,"Consider the following statements with reference to India: 1. According to the Micro, Small and Medium Enterprises Development (MSMED) Act, 2006’, the ‘medium enterprises’ are those with investments in plant and machinery between 15 crore and 25 crore. 2. All bank loans to the Micro, Small and Medium Enterprises qualify under the priority sector. Which of the statements given above is/are correct?",banking & financial regulation; indian economy & policy
