Question Number,Question,Option A,Option B,Option C,Option D,Ans.
1,Consider the following pairs: Historical place Well - known for 1. Burzahom : Rock-cut shrines 2. Chandra - ketugarh : Terracotta art 3. Ganeshwar : Copper artefacts Which of the pairs given above is/are correctly matched?,1 only,1 and 2,3 only,2 and 3,D
2,"In the context of the history of India, consider the following pairs: Term Description 1. Eripatti : Land revenue which was set apart for the maintenance of the village tank 2. Taniyurs : Villages donated to single Brahmin or a group of Brahmins 3. Ghatikas : Colleges generally attached to the temples Which of the pairs given above is correctly matched?",1 and 2,3 only,2 and 3,1 and 3,D
3,"With reference to the scientific progress of Ancient India, Which of the statements given below are correct? 1. Different kinds of specialised surgical instruments were in common use by the 1st century AD 2. Transplant of internal organs in the human body began in the 3rd century AD 3. The concept of sine of an angle was known in the 5th century AD. 4. The concept of cyclic quadrilateral was known in the 7th century AD. Select the correct answer using the codes given below:",1 and 2 only,3 and 4 only,"1, 3 and 4 only","1, 2, 3 and 4",C
4,"With reference to the Guilds (Shrenis) of ancient India that played a very important role in the country's economy, which of the following statements is/are true? 1. Every Guild was registered with the central authority of the state and the King was the chief administrative authority on them 2. The wages, rules of work, standards and prices were fixed by the Guild 3. The guild had judicial powers over its own members. Select the correct answer using the codes given below:",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",C
5,Which one of the following ancient towns is well-known for its elaborate system of water harvesting and management by building a series of dams and channelizing water into connected reservoirs?,Dholavira,Kalibangan,Rakhigarhi,Ropar,A
6,Which one of the following is not a Harappan site?,Chanhudaro,Kot Diji,Sohgaura,Desalpur,C
7,Which of the following characterises/characterises the people of the Indus Civilization? 1. They possessed great palaces and temples. 2. They worshipped both male and female deities. 3. They employed horse-drawn chariots in warfare. Select the correct statement/statements using the codes given below,1 and 2 only,2 only,"1, 2 and 3",None of the statements given above is correct,B
8,"Regarding the Indus valley civilization, consider the following statements: 1. It was predominantly a secular civilization and the religious element, though present, did not dominate the scene. 2. During this period, cotton was used for manufacturing textiles in India. Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 and 2,C
9,"With reference to the difference between the culture of Rigvedic Aryans and Indus Valley people, which of the following statements is/are correct? 1. Rigvedic Aryans used the coat of mail and helmet in warfare whereas the people of the Indus Valley Civilization did not leave any evidence of using them. 2. Rigvedic Aryans knew gold, silver and copper whereas Indus Valley people knew only copper and iron. 3. Rigvedic Aryans had domesticated the horse whereas there is no evidence of Indus Valley people having been aware of this animal. Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C
10,The Religion of early Vedic Aryans was primarily of:,Bhakti,Image worship and yajnas,Worship of nature and yajnas,Worship of nature and bhakti,C
11,"According to Kautilya's Arthashastra, which of the following are correct? 1. A person could be a slave as a result of a judicial punishment. 2. If a female slave bore her master a son, she was legally free. 3. If a son born to a female slave was fathered by her master the son was entitled to the legal status of the master's son. Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B
12,"Who among the following rulers advised his subjects through this inscription? 'Whosoever praises his religious sect or blames other sects out of excessive devotion to his own sect, with the view of glorifying his own sect, he rather injures his own sect very severely.'",Ashoka,Samudragupta,Harshavardhana,Krishnadeva Raya,A
13,In which of the following relief sculpture inscriptions is 'Ranyo Ashoka' (King Ashoka) mentioned along with the stone portrait of Ashoka?,Kanganahalli,Sanchi,Shahbazgarhi,Sohgaura,A
14,Who of the following had first deciphered the edicts of Emperor Ashoka?,Georg Buhler,James Prinsep,Max Muller,William Jones,B
